| Model                                     | Overall Score   | Coding     | Knowledge   | Mathematics   | Ranking   | Reasoning   | Roleplay   | Writing    |
|-------------------------------------------|-----------------|------------|-------------|---------------|-----------|-------------|------------|------------|
| gpt-oss-120b                              | 242.24(1)       | 263.35(1)  | 247.99(3)   | 241.59(2)     | N/A       | 235.70(1)   | 231.33(7)  | 233.59(4)  |
| Qwen3-32B                                 | 241.13(2)       | 246.87(4)  | 234.47(6)   | 245.29(1)     | N/A       | 224.93(6)   | 246.03(3)  | 241.29(2)  |
| deepseek-v3-250324                        | 237.65(3)       | 247.09(3)  | 250.91(2)   | 220.01(5)     | N/A       | 229.93(4)   | 237.41(5)  | 233.04(5)  |
| deepseek-r1-250120                        | 235.25(4)       | 231.94(6)  | 238.19(4)   | 190.58(8)     | N/A       | 234.91(2)   | 248.29(2)  | 244.14(1)  |
| gemma-3-27b-it                            | 229.88(5)       | 207.01(9)  | 253.25(1)   | 192.19(7)     | N/A       | 233.82(3)   | 243.59(4)  | 236.63(3)  |
| QwQ-32B                                   | 229.38(6)       | 224.73(7)  | 237.71(5)   | 187.67(9)     | N/A       | 228.24(5)   | 250.41(1)  | 232.26(7)  |
| anthropic.claude-3-7-sonnet-20250219-v1_0 | 225.07(7)       | 238.37(5)  | 229.79(8)   | 187.36(10)    | N/A       | 203.56(11)  | 224.94(10) | 232.74(6)  |
| Qwen3-8B                                  | 222.88(8)       | 219.59(8)  | 210.07(11)  | 241.40(3)     | N/A       | 216.47(7)   | 227.69(9)  | 224.63(9)  |
| gpt-4o-2024-11-20                         | 214.80(9)       | 202.03(10) | 219.31(10)  | 171.82(11)    | N/A       | 210.50(9)   | 234.42(6)  | 225.90(8)  |
| gpt-oss-20b                               | 213.72(10)      | 251.59(2)  | 230.79(7)   | 225.26(4)     | N/A       | 212.92(8)   | 176.09(13) | 196.23(12) |
| gemma-3-4b-it                             | 203.43(11)      | 167.27(15) | 219.62(9)   | 137.90(17)    | N/A       | 207.15(10)  | 230.57(8)  | 224.30(10) |
| Qwen2.5-72B-Instruct                      | 190.42(12)      | 190.53(11) | 194.18(12)  | 171.61(12)    | N/A       | 194.16(12)  | 179.91(11) | 197.99(11) |
| qwen-max-2024-10-15                       | 182.59(13)      | 183.33(13) | 192.56(13)  | 164.28(13)    | N/A       | 178.68(14)  | 174.14(14) | 187.44(13) |
| doubao-1-5-pro-32k-250115                 | 182.23(14)      | 187.05(12) | 192.40(14)  | 192.35(6)     | N/A       | 181.46(13)  | 173.19(15) | 175.36(18) |
| Qwen2.5-32B-Instruct                      | 176.10(15)      | 174.39(14) | 174.20(15)  | 162.31(14)    | N/A       | 173.53(15)  | 170.58(16) | 185.19(14) |
| Meta-Llama-3.1-70B-Instruct               | 170.51(16)      | 165.25(16) | 167.73(16)  | 133.37(18)    | N/A       | 170.07(16)  | 178.49(12) | 183.13(15) |
| Qwen2.5-7B-Instruct                       | 166.67(17)      | 161.99(17) | 162.77(17)  | 146.67(16)    | N/A       | 163.15(17)  | 164.64(17) | 179.10(16) |
| Meta-Llama-3.1-8B-Instruct                | 159.01(18)      | 154.93(19) | 152.30(20)  | 119.67(20)    | N/A       | 159.35(18)  | 159.26(18) | 176.65(17) |
| hunyuan-standard-2025-02-10               | 156.44(19)      | 158.49(18) | 156.85(18)  | 149.47(15)    | N/A       | 152.47(19)  | 144.43(20) | 163.21(20) |
| Mistral-7B-Instruct-v0.3                  | 148.94(20)      | 138.24(21) | 152.55(19)  | 114.74(21)    | N/A       | 133.61(21)  | 158.07(19) | 163.44(19) |
| Phi-4-mini-instruct                       | 143.99(21)      | 143.21(20) | 142.36(21)  | 123.93(19)    | N/A       | 148.08(20)  | 144.18(21) | 150.48(21) |
